Lake,Elevation_m,MaxDepth,SSRatio,Chl_a_ugL,Latitude,Longitude
Two Rivers Pond,3237.77,1.5,1.01,0.28,40.322514341,-105.6797063
Helene Lake,3231.18,1.5,1.02,0.28,40.3201852,-105.6857955
Green Lake,3530.19,8,1.03,0.43,40.254368054,-105.6328954
Snowbank Lake,3517.39,10,1.04,1.42,40.2402564,-105.6452849
Ptarmigan Tarn,3343.96,6,1.1,0.64,40.315803598,-105.6920448
Two Rivers Lake,3236.67,2,1.13,1.61,40.321265,-105.6824957
Frozen Lake,3533.55,27,1.21,16.14,40.2574974,-105.6423524
Le Petite Tarn,3342.13,2.2,1.35,0.47,40.316839286,-105.6913236
Mills Lake,3043.43,8.4,0.83,5.1,40.289387,-105.6416192
Lake Irene,3238.5,15,0.88,0.99,40.422792758,-105.814152
Thunder Lake,3219.6,15,0.92,0.57,40.2218643,-105.6474843
Lake Verna,3102.86,26.7,0.92,1.33,40.2260184,-105.7076127
Poudre Lake,3275.08,2,0.93,0.85,40.421305959,-105.8102117
Black Lake,3248.56,34.4,0.96,2.62,40.265181,-105.6408861
Odessa Lake,3051.35,7,0.96,0.19,40.3300177,-105.6856122
Fern Lake,2903.83,10,0.98,0.71,40.3362173,-105.6768127
Lion Lake II,3483.86,11.4,0.98,3.69,40.2376443,-105.6416192
Lone Pine Lake,3009.9,10,0.98,0.21,40.2326371,-105.7318163
